time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
4.1875,3.9384223695390888,1.9688627830368686,3.6636890205547084,0.044723029754018304,-0.08681946465726682,-0.010951407211919588,0.27277294712798905,0.1376281417306436,0.6777121253977931,-0.06184962962786661,0.11704633638598194,0.024670896640951966
4.25,3.953910714755722,1.9766805936942817,3.7052406469642976,0.040734398883643774,-0.07924780365291174,-0.00941508425368142,0.22360429743165777,0.11291351945260189,0.6520183111851223,-0.0657853287694816,0.12524820428299802,0.02448039577065855
4.3125,3.9664765521721135,1.983028467504693,3.7451112049881843,0.03653003414015988,-0.07121885802849866,-0.007909141752677415,0.17929328731558805,0.0906116517279053,0.6239143987020627,-0.06875614732384029,0.13167943473235816,0.023700852872292354
4.375,3.9764307023564758,1.9880610445910336,3.783133623895179,0.03217359586429146,-0.06285149536696855,-0.006469605898738559,0.14005806337994936,0.07083916831248134,0.5928720283895084,-0.0706548460074465,0.13607752051035302,0.02235823186589303
4.4375,3.9840948678373267,1.9919388862888616,3.8191067527965834,0.02773562518489369,-0.05428147914682214,-0.005130067168860587,0.10602719858583495,0.05366808986131184,0.5583293756232025,-0.07136818179315924,0.13816430402095506,0.020504432190354895
4.5,3.989795727527216,1.9948255181679555,3.8527936089171324,0.023294003900291307,-0.045662451423617495,-0.00392003956981226,0.07722989225546677,0.03912043386101249,0.5197021490437131,-0.07077418263599179,0.13764583054703097,0.01821787306527453
4.5625,3.9938584426420856,1.996884147524258,3.883920405144233,0.018934585936392728,-0.03716691700129397,-0.0028633218671044397,0.053586960084034393,0.02716320912242322,0.47639750720327717,-0.06873941674127647,0.13421244665513574,0.015602833481471848
4.625,3.9965996323757986,1.9982740853685217,3.9121765459434936,0.014751987135138735,-0.02898720361493405,-0.0019764516785816862,0.03490289850963228,0.01770398288443727,0.42783109550212717,-0.06511669888387388,0.1275394691823394,0.012787123068969368
4.6875,3.998319894875799,1.9991469141862537,3.9372157907930148,0.010850494266593465,-0.02133635838006117,-0.001267372877440764,0.020859291039281913,0.010587194748454763,0.37344732219505455,-0.05974361610989138,0.11728855607580277,0.009917562593106987
4.75,3.9992959642095456,1.9996424525948777,3.9586587866349405,0.007345027001124545,-0.014448926396939604,-0.0007344719900535477,0.011009771292364742,0.005591355979999458,0.3127428287772922,-0.05244235369057678,0.10311010783440532,0.0071526681785321206
4.8125,3.9997726042551776,1.9998845745585798,3.976097159400557,0.004362058125337392,-0.0085815358802152,-0.0003661785079760869,0.004776653098662592,0.0024272017748644824,0.24529283283179906,-0.04302124073743386,0.08464705977721487,0.004651892089586377
4.875,3.9999543420304082,1.999976941528737,3.9890993205214373,0.002040375938708333,-0.004013190498254892,-0.0001413634909063319,0.0014491643453761764,0.0007367479844263481,0.17077957280537562,-0.03127826319658565,0.06154046348460898,0.0025608088812109444
4.9375,3.9999971311346534,1.9999986977100515,3.9972180745180728,0.0005315677653118861,-0.0010451449911172055,-3.08044798923789e-05,0.0001829651580844075,9.303572733578599e-05,0.08902139172938725,-0.017006434236144535,0.03343724768128595,0.0009917874510644521
5.0,4.000000005662039,2.0000001584287213,3.9999999902435373,1.2836111135432807e-07,-2.1632478238277483e-07,-2.970015506267709e-09,2.9684643136438324e-07,1.3019732038518514e-07,-2.846569741550248e-08,-3.0908576424404656e-07,5.314742546460023e-07,3.1240790896175854e-08
