time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
3.125,3.391366013924821e-11,3.391365640760848e-11,-43.017578103229965,-3.7078681142749864e-11,3.707868550221803e-11,6.777888754309024e-19,4.161155430821213e-11,4.161154939371508e-11,-27.531249994133848,-2.0079670401651893e-11,2.0079672602584237e-11,5.852317642688237e-19
3.1500000000000004,3.496558855561623e-11,3.496558469974586e-11,-43.70861247808612,-3.7581590725031395e-11,3.758159513908314e-11,6.925074045434518e-19,4.2544814481722837e-11,4.2544809457532745e-11,-27.751499994358166,-2.015309618087592e-11,2.0153098346625326e-11,5.922656923231272e-19
3.1750000000000003,3.604100582919949e-11,3.6041001846338906e-11,-44.40515310294798,-3.808631932436866e-11,3.8086323792784166e-11,7.074015107684643e-19,4.3490670465015306e-11,4.349066532977239e-11,-27.971749994590596,-2.0225191766100524e-11,2.0225193949462207e-11,5.9926807384245265e-19
3.2,3.7140227420303907e-11,3.714022330765992e-11,-45.107199977815746,-3.8592833717434004e-11,3.859283824131352e-11,7.224700367207739e-19,4.4449167324605295e-11,4.444916207693892e-11,-28.191999994831313,-2.0295959679121045e-11,2.0295961932890325e-11,6.062367039227047e-19
3.225,3.8263569905526266e-11,3.826356566027065e-11,-45.81475310268965,-3.9101100744193034e-11,3.9101105326711175e-11,7.377125507356935e-19,4.542034929747038e-11,4.542034393595965e-11,-28.412249995080508,-2.036540246160558e-11,2.036540489891652e-11,6.131695707476939e-19
3.25,3.9411350957035445e-11,3.9411346576303464e-11,-46.52781247756988,-3.961108731287558e-11,3.961109195711225e-11,7.531280892732698e-19,4.6404259792686534e-11,4.640425431581968e-11,-28.63249999533838,-2.043352303299882e-11,2.0433525533174605e-11,6.200635855798777e-19
3.2750000000000004,4.058388932189578e-11,4.058388480278382e-11,-47.24637810245668,-4.012276040141943e-11,4.012276510888362e-11,7.687152765916386e-19,4.74009413931164e-11,4.740093579933067e-11,-28.852749995605134,-2.0500324050514873e-11,2.0500326608526508e-11,6.269164905983709e-19
3.3000000000000003,4.1781504801433555e-11,4.1781500140998826e-11,-47.970449977350256,-4.0636087055393595e-11,4.0636091828850975e-11,7.844729182228606e-19,4.8410435857156206e-11,4.841043014484087e-11,-29.072999995880977,-2.056580826741852e-11,2.056581098885809e-11,6.337255464047942e-19
3.325,4.300451823064829e-11,4.300451342590653e-11,-48.70002810225084,-4.1151034393654656e-11,4.115103923662519e-11,8.004005255780458e-19,4.9432784120535785e-11,4.943277828799388e-11,-29.29324999616612,-2.0629978793464664e-11,2.0629981633077893e-11,6.404876405389797e-19
3.35,4.425325145766846e-11,4.425324650559197e-11,-49.435112477158675,-4.1667569610901015e-11,4.1667574527030403e-11,8.164966373838749e-19,5.0468026298182344e-11,5.046802034363316e-11,-29.513499996460805,-2.0692838586243947e-11,2.069284159934037e-11,6.47202208971691e-19
